ID,Specialty,Theme,Article,German,Vietnamese,Example_DE,Example_VI,Level
"expanded-koch-0665","koch","kueche","","Schöpfkelle bei der Lagerung","muôi múc canh khi bảo quản","Die Wendung „Schöpfkelle bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “muôi múc canh khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0666","koch","kueche","","Pürierstab bei der Lagerung","máy xay cầm tay khi bảo quản","Die Wendung „Pürierstab bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “máy xay cầm tay khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0667","koch","kueche","","Backblech bei der Lagerung","khay nướng khi bảo quản","Die Wendung „Backblech bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “khay nướng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0668","koch","kueche","","Reibe bei der Lagerung","bàn nạo khi bảo quản","Die Wendung „Reibe bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “bàn nạo khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0669","koch","kueche","","Fleischwolf bei der Lagerung","máy xay thịt khi bảo quản","Die Wendung „Fleischwolf bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “máy xay thịt khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0670","koch","kueche","","Arbeitsfläche bei der Lagerung","mặt bàn chế biến khi bảo quản","Die Wendung „Arbeitsfläche bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “mặt bàn chế biến khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0671","koch","zutaten","","Mehl bei der Lagerung","bột mì khi bảo quản","Die Wendung „Mehl bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “bột mì khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0672","koch","zutaten","","Hefe bei der Lagerung","men nở khi bảo quản","Die Wendung „Hefe bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “men nở khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0673","koch","zutaten","","Essig bei der Lagerung","giấm khi bảo quản","Die Wendung „Essig bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “giấm khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0674","koch","zutaten","","Muskatnuss bei der Lagerung","hạt nhục đậu khấu khi bảo quản","Die Wendung „Muskatnuss bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “hạt nhục đậu khấu khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0675","koch","zutaten","","Lorbeerblatt bei der Lagerung","lá nguyệt quế khi bảo quản","Die Wendung „Lorbeerblatt bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “lá nguyệt quế khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0676","koch","zutaten","","Schalotte bei der Lagerung","hành hương (hành tím nhỏ) khi bảo quản","Die Wendung „Schalotte bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “hành hương (hành tím nhỏ) khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0677","koch","zutaten","","Blätterteig bei der Lagerung","bột ngàn lớp khi bảo quản","Die Wendung „Blätterteig bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “bột ngàn lớp khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0678","koch","zutaten","","Speisestärke bei der Lagerung","tinh bột (bột năng) khi bảo quản","Die Wendung „Speisestärke bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “tinh bột (bột năng) khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0679","koch","zubereitung","","panieren bei der Lagerung","tẩm bột chiên xù khi bảo quản","Die Wendung „panieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “tẩm bột chiên xù khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0680","koch","zubereitung","","marinieren bei der Lagerung","ướp khi bảo quản","Die Wendung „marinieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “ướp khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0681","koch","zubereitung","","blanchieren bei der Lagerung","chần (qua nước sôi) khi bảo quản","Die Wendung „blanchieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “chần (qua nước sôi) khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0682","koch","zubereitung","","pochieren bei der Lagerung","luộc chần (không sôi mạnh) khi bảo quản","Die Wendung „pochieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “luộc chần (không sôi mạnh) khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0683","koch","zubereitung","","karamellisieren bei der Lagerung","làm caramel/thắng đường khi bảo quản","Die Wendung „karamellisieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “làm caramel/thắng đường khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0684","koch","zubereitung","","glasieren bei der Lagerung","phủ men/tráng bóng khi bảo quản","Die Wendung „glasieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “phủ men/tráng bóng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0685","koch","zubereitung","","schwenken bei der Lagerung","đảo/lắc trong chảo khi bảo quản","Die Wendung „schwenken bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “đảo/lắc trong chảo khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0686","koch","zubereitung","","verrühren bei der Lagerung","khuấy trộn đều khi bảo quản","Die Wendung „verrühren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “khuấy trộn đều khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0687","koch","lebensmittelhygiene","","Handhygiene bei der Lagerung","vệ sinh tay khi bảo quản","Die Wendung „Handhygiene bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “vệ sinh tay khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0688","koch","lebensmittelhygiene","","Schädling bei der Lagerung","sinh vật gây hại khi bảo quản","Die Wendung „Schädling bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “sinh vật gây hại khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0689","koch","lebensmittelhygiene","","Desinfektion bei der Lagerung","khử trùng khi bảo quản","Die Wendung „Desinfektion bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “khử trùng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0690","koch","lebensmittelhygiene","","Kerntemperatur bei der Lagerung","nhiệt độ lõi (tâm thực phẩm) khi bảo quản","Die Wendung „Kerntemperatur bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nhiệt độ lõi (tâm thực phẩm) khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0691","koch","lebensmittelhygiene","","Verderb bei der Lagerung","sự ôi thiu/hư hỏng khi bảo quản","Die Wendung „Verderb bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “sự ôi thiu/hư hỏng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0692","koch","lebensmittelhygiene","","Einweghandschuh bei der Lagerung","găng tay dùng một lần khi bảo quản","Die Wendung „Einweghandschuh bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “găng tay dùng một lần khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0693","koch","kuechenkommunikation","","Kellner bei der Lagerung","người phục vụ bàn khi bảo quản","Die Wendung „Kellner bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “người phục vụ bàn khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0694","koch","kuechenkommunikation","","Gang bei der Lagerung","món (trong bữa nhiều món) khi bảo quản","Die Wendung „Gang bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “món (trong bữa nhiều món) khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0695","koch","kuechenkommunikation","","Bon bei der Lagerung","phiếu gọi món khi bảo quản","Die Wendung „Bon bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “phiếu gọi món khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0696","koch","kuechenkommunikation","","Absprache bei der Lagerung","sự trao đổi/thống nhất khi bảo quản","Die Wendung „Absprache bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “sự trao đổi/thống nhất khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0697","koch","kuechenkommunikation","","Posten bei der Lagerung","trạm/vị trí làm việc trong bếp khi bảo quản","Die Wendung „Posten bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “trạm/vị trí làm việc trong bếp khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0698","koch","warenlagerung","","Wareneingang bei der Lagerung","khu, quy trình nhận hàng khi bảo quản","Die Wendung „Wareneingang bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “khu, quy trình nhận hàng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0699","koch","warenlagerung","","Lieferschein bei der Lagerung","phiếu giao hàng khi bảo quản","Die Wendung „Lieferschein bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “phiếu giao hàng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0700","koch","warenlagerung","","Lagertemperatur bei der Lagerung","nhiệt độ bảo quản khi bảo quản","Die Wendung „Lagertemperatur bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nhiệt độ bảo quản khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0701","koch","warenlagerung","","Verbrauchsdatum bei der Lagerung","hạn sử dụng khi bảo quản","Die Wendung „Verbrauchsdatum bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “hạn sử dụng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0702","koch","warenlagerung","","Trockenlager bei der Lagerung","kho khô khi bảo quản","Die Wendung „Trockenlager bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kho khô khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0703","koch","warenlagerung","","Tiefkühlware bei der Lagerung","thực phẩm đông lạnh khi bảo quản","Die Wendung „Tiefkühlware bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “thực phẩm đông lạnh khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0704","koch","warenlagerung","","auftauen bei der Lagerung","rã đông khi bảo quản","Die Wendung „auftauen bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “rã đông khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0705","koch","warenlagerung","","kennzeichnen bei der Lagerung","dán nhãn, đánh dấu khi bảo quản","Die Wendung „kennzeichnen bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “dán nhãn, đánh dấu khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0706","koch","arbeitsorganisation","","Mise en Place bei der Lagerung","chuẩn bị nguyên liệu và dụng cụ trước ca khi bảo quản","Die Wendung „Mise en Place bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “chuẩn bị nguyên liệu và dụng cụ trước ca khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0707","koch","arbeitsorganisation","","Arbeitsplan bei der Lagerung","kế hoạch làm việc khi bảo quản","Die Wendung „Arbeitsplan bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kế hoạch làm việc khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0708","koch","arbeitsorganisation","","Küchenbrigade bei der Lagerung","đội ngũ bếp khi bảo quản","Die Wendung „Küchenbrigade bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “đội ngũ bếp khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0709","koch","arbeitsorganisation","","Chef de Partie bei der Lagerung","bếp trưởng phụ trách một khu vực khi bảo quản","Die Wendung „Chef de Partie bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “bếp trưởng phụ trách một khu vực khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0710","koch","arbeitsorganisation","","Vorbereitung bei der Lagerung","công việc chuẩn bị khi bảo quản","Die Wendung „Vorbereitung bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “công việc chuẩn bị khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0711","koch","arbeitsorganisation","","Zeitmanagement bei der Lagerung","quản lý thời gian khi bảo quản","Die Wendung „Zeitmanagement bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “quản lý thời gian khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0712","koch","arbeitsorganisation","","Produktionsplan bei der Lagerung","kế hoạch chế biến khi bảo quản","Die Wendung „Produktionsplan bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kế hoạch chế biến khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0713","koch","arbeitsorganisation","","Küchenordnung bei der Lagerung","nội quy nhà bếp khi bảo quản","Die Wendung „Küchenordnung bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nội quy nhà bếp khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0714","koch","kalkulation","","Speiseplan bei der Lagerung","kế hoạch thực đơn khi bảo quản","Die Wendung „Speiseplan bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kế hoạch thực đơn khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0715","koch","kalkulation","","Wareneinsatz bei der Lagerung","chi phí nguyên vật liệu khi bảo quản","Die Wendung „Wareneinsatz bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “chi phí nguyên vật liệu khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0716","koch","kalkulation","","Portionsgröße bei der Lagerung","kích thước khẩu phần khi bảo quản","Die Wendung „Portionsgröße bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kích thước khẩu phần khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0717","koch","kalkulation","","Kalkulation bei der Lagerung","việc tính giá thành khi bảo quản","Die Wendung „Kalkulation bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “việc tính giá thành khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0718","koch","kalkulation","","Rezeptur bei der Lagerung","công thức định lượng khi bảo quản","Die Wendung „Rezeptur bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “công thức định lượng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0719","koch","kalkulation","","Saisonware bei der Lagerung","nguyên liệu theo mùa khi bảo quản","Die Wendung „Saisonware bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nguyên liệu theo mùa khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0720","koch","kalkulation","","Tagesangebot bei der Lagerung","món ưu đãi trong ngày khi bảo quản","Die Wendung „Tagesangebot bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “món ưu đãi trong ngày khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0721","koch","kalkulation","","Kostenkontrolle bei der Lagerung","kiểm soát chi phí khi bảo quản","Die Wendung „Kostenkontrolle bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kiểm soát chi phí khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0722","koch","arbeitssicherheit","","Arbeitsschutz bei der Lagerung","an toàn lao động khi bảo quản","Die Wendung „Arbeitsschutz bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “an toàn lao động khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0723","koch","arbeitssicherheit","","Schnittverletzung bei der Lagerung","vết thương do dao cắt khi bảo quản","Die Wendung „Schnittverletzung bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “vết thương do dao cắt khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0724","koch","arbeitssicherheit","","Verbrennung bei der Lagerung","vết bỏng khi bảo quản","Die Wendung „Verbrennung bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “vết bỏng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0725","koch","arbeitssicherheit","","rutschfest bei der Lagerung","chống trượt khi bảo quản","Die Wendung „rutschfest bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “chống trượt khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0726","koch","arbeitssicherheit","","Schutzschuh bei der Lagerung","giày bảo hộ khi bảo quản","Die Wendung „Schutzschuh bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “giày bảo hộ khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0727","koch","arbeitssicherheit","","Fettbrand bei der Lagerung","cháy dầu mỡ khi bảo quản","Die Wendung „Fettbrand bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “cháy dầu mỡ khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0728","koch","arbeitssicherheit","","Erste-Hilfe-Kasten bei der Lagerung","hộp sơ cứu khi bảo quản","Die Wendung „Erste-Hilfe-Kasten bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “hộp sơ cứu khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0729","koch","arbeitssicherheit","","Gerätereinigung bei der Lagerung","vệ sinh thiết bị khi bảo quản","Die Wendung „Gerätereinigung bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “vệ sinh thiết bị khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0730","koch","backen","","Teig bei der Lagerung","bột nhào khi bảo quản","Die Wendung „Teig bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “bột nhào khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0731","koch","backen","","Gärzeit bei der Lagerung","thời gian ủ bột khi bảo quản","Die Wendung „Gärzeit bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “thời gian ủ bột khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0732","koch","backen","","Backpulver bei der Lagerung","bột nở khi bảo quản","Die Wendung „Backpulver bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “bột nở khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0733","koch","backen","","kneten bei der Lagerung","nhào bột khi bảo quản","Die Wendung „kneten bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nhào bột khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0734","koch","backen","","gehen lassen bei der Lagerung","ủ cho bột nở khi bảo quản","Die Wendung „gehen lassen bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “ủ cho bột nở khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0735","koch","backen","","ausrollen bei der Lagerung","cán bột khi bảo quản","Die Wendung „ausrollen bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “cán bột khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0736","koch","backen","","Spritzbeutel bei der Lagerung","túi bắt kem khi bảo quản","Die Wendung „Spritzbeutel bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “túi bắt kem khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0737","koch","backen","","Glasur bei der Lagerung","lớp phủ bánh khi bảo quản","Die Wendung „Glasur bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “lớp phủ bánh khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0738","koch","backen","","Tortenboden bei der Lagerung","cốt bánh khi bảo quản","Die Wendung „Tortenboden bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “cốt bánh khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0739","koch","backen","","Garprobe bei der Lagerung","kiểm tra độ chín khi bảo quản","Die Wendung „Garprobe bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “kiểm tra độ chín khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0740","koch","fleischfisch","","Fleischzuschnitt bei der Lagerung","phần cắt thịt khi bảo quản","Die Wendung „Fleischzuschnitt bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “phần cắt thịt khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0741","koch","fleischfisch","","Fischfilet bei der Lagerung","phi lê cá khi bảo quản","Die Wendung „Fischfilet bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “phi lê cá khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0742","koch","fleischfisch","","Gräte bei der Lagerung","xương cá khi bảo quản","Die Wendung „Gräte bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “xương cá khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0743","koch","fleischfisch","","Geflügel bei der Lagerung","thịt gia cầm khi bảo quản","Die Wendung „Geflügel bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “thịt gia cầm khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0744","koch","fleischfisch","","Wildfleisch bei der Lagerung","thịt thú rừng khi bảo quản","Die Wendung „Wildfleisch bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “thịt thú rừng khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0745","koch","fleischfisch","","durchgebraten bei der Lagerung","chín kỹ khi bảo quản","Die Wendung „durchgebraten bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “chín kỹ khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0746","koch","fleischfisch","","medium bei der Lagerung","chín vừa khi bảo quản","Die Wendung „medium bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “chín vừa khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0747","koch","fleischfisch","","tranchieren bei der Lagerung","pha, thái thịt đã nấu chín khi bảo quản","Die Wendung „tranchieren bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “pha, thái thịt đã nấu chín khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0748","koch","fleischfisch","","Fischfond bei der Lagerung","nước dùng cá khi bảo quản","Die Wendung „Fischfond bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nước dùng cá khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B2"
"expanded-koch-0749","koch","fleischfisch","","Hygienebrett bei der Lagerung","thớt phân màu vệ sinh khi bảo quản","Die Wendung „Hygienebrett bei der Lagerung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “thớt phân màu vệ sinh khi bảo quản” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0750","koch","kueche","","Schneidebrett bei der Vorbereitung","thớt trong bước chuẩn bị","Die Wendung „Schneidebrett bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “thớt trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0751","koch","kueche","","Schneebesen bei der Vorbereitung","cây đánh trứng trong bước chuẩn bị","Die Wendung „Schneebesen bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “cây đánh trứng trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0752","koch","kueche","","Kochtopf bei der Vorbereitung","nồi nấu trong bước chuẩn bị","Die Wendung „Kochtopf bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nồi nấu trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0753","koch","kueche","","Sieb bei der Vorbereitung","rây, rá lọc trong bước chuẩn bị","Die Wendung „Sieb bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “rây, rá lọc trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0754","koch","kueche","","Backofen bei der Vorbereitung","lò nướng trong bước chuẩn bị","Die Wendung „Backofen bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “lò nướng trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
"expanded-koch-0755","koch","zutaten","","Brühe bei der Vorbereitung","nước dùng trong bước chuẩn bị","Die Wendung „Brühe bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “nước dùng trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","B1"
"expanded-koch-0756","koch","zutaten","","Petersilie bei der Vorbereitung","rau mùi tây trong bước chuẩn bị","Die Wendung „Petersilie bei der Vorbereitung“ gehört zum Fachwortschatz Koch / Köchin.","Cụm “rau mùi tây trong bước chuẩn bị” thuộc từ vựng chuyên ngành Đầu bếp.","A2"
